"region","species","year","size_group_1","size_group_2","entity_1_count_mA","entity_2_count_mB","obs_cooccur_X","total_N","p_value","exp_cooccur","alpha_mle","alpha_medianInt","conf_level","ci_blaker","ci_cp","ci_midQ","ci_midP","jaccard","sorensen","simpson","errornote"
"North Sea","Eutrigla gurnardus","2005","1","5",125,100,81,198,"1.7054e-07",63.131,1.646,"[1.589, 1.694]",0.95,"[1.011, 2.296]","[0.974, 2.351]","[1.023, 2.294]","[1.015, 2.303]",0.562,0.72,0.81,NA
"North Sea","Eutrigla gurnardus","2005","2","3",123,127,112,198,"0.0000e+00",78.894,3.675,"[3.575, 3.754]",0.95,"[2.839, 4.56]","[2.8, 4.639]","[2.878, 4.534]","[2.862, 4.555]",0.812,0.896,0.911,NA
"North Sea","Eutrigla gurnardus","2005","2","4",123,109,101,198,"0.0000e+00",67.712,3.621,"[3.513, 3.704]",0.95,"[2.762, 4.516]","[2.725, 4.64]","[2.805, 4.522]","[2.788, 4.547]",0.771,0.871,0.927,NA
"North Sea","Eutrigla gurnardus","2005","2","5",123,100,95,198,"0.0000e+00",62.121,3.834,"[3.686, 3.939]",0.95,"[2.863, 4.879]","[2.816, 5.083]","[2.914, 4.906]","[2.89, 4.948]",0.742,0.852,0.95,NA
"North Sea","Eutrigla gurnardus","2005","3","4",127,109,103,198,"0.0000e+00",69.914,3.81,"[3.679, 3.906]",0.95,"[2.847, 4.792]","[2.838, 4.962]","[2.93, 4.811]","[2.909, 4.845]",0.774,0.873,0.945,NA
"North Sea","Eutrigla gurnardus","2005","3","5",127,100,93,198,"0.0000e+00",64.141,3.199,"[3.087, 3.281]",0.95,"[2.345, 4.195]","[2.3, 4.245]","[2.38, 4.119]","[2.363, 4.145]",0.694,0.819,0.93,NA
"North Sea","Eutrigla gurnardus","2005","4","5",109,100,91,198,"0.0000e+00",55.051,3.774,"[3.669, 3.855]",0.95,"[2.927, 4.764]","[2.887, 4.769]","[2.966, 4.656]","[2.95, 4.679]",0.771,0.871,0.91,NA
"North Sea","Eutrigla gurnardus","2006","1","2",104,121,90,198,"0.0000e+00",63.556,2.554,"[2.483, 2.611]",0.95,"[1.816, 3.329]","[1.813, 3.352]","[1.871, 3.278]","[1.861, 3.291]",0.667,0.8,0.865,NA
"North Sea","Eutrigla gurnardus","2006","1","3",104,116,93,198,"0.0000e+00",60.929,3.238,"[3.151, 3.307]",0.95,"[2.44, 4.12]","[2.424, 4.134]","[2.492, 4.042]","[2.479, 4.06]",0.732,0.845,0.894,NA
"North Sea","Eutrigla gurnardus","2006","1","4",104,108,80,198,"2.1951e-11",56.727,2.049,"[1.993, 2.097]",0.95,"[1.411, 2.734]","[1.381, 2.748]","[1.43, 2.692]","[1.422, 2.7]",0.606,0.755,0.769,NA
"North Sea","Eutrigla gurnardus","2006","1","5",104,92,66,198,"4.9608e-07",48.323,1.505,"[1.455, 1.549]",0.95,"[0.885, 2.118]","[0.87, 2.163]","[0.914, 2.113]","[0.908, 2.121]",0.508,0.673,0.717,NA
"North Sea","Eutrigla gurnardus","2006","2","3",121,116,106,198,"0.0000e+00",70.889,3.823,"[3.72, 3.906]",0.95,"[2.965, 4.775]","[2.932, 4.814]","[3.013, 4.703]","[2.996, 4.726]",0.809,0.895,0.914,NA
"North Sea","Eutrigla gurnardus","2006","2","4",121,108,104,198,"0.0000e+00",66,4.672,"[4.487, 4.806]",0.95,"[3.536, 5.883]","[3.526, 6.121]","[3.647, 5.889]","[3.615, 5.95]",0.832,0.908,0.963,NA
"North Sea","Eutrigla gurnardus","2006","2","5",121,92,89,198,"0.0000e+00",56.222,4.202,"[3.981, 4.352]",0.95,"[3, 5.586]","[2.988, 5.871]","[3.118, 5.567]","[3.081, 5.651]",0.718,0.836,0.967,NA
"North Sea","Eutrigla gurnardus","2006","3","4",116,108,96,198,"0.0000e+00",63.273,3.307,"[3.221, 3.376]",0.95,"[2.51, 4.171]","[2.494, 4.195]","[2.563, 4.105]","[2.55, 4.122]",0.75,0.857,0.889,NA
"North Sea","Eutrigla gurnardus","2006","3","5",116,92,78,198,"0.0000e+00",53.899,2.286,"[2.218, 2.341]",0.95,"[1.575, 3.029]","[1.561, 3.067]","[1.617, 2.996]","[1.607, 3.008]",0.6,0.75,0.848,NA
"North Sea","Eutrigla gurnardus","2006","4","5",108,92,85,198,"0.0000e+00",50.182,3.751,"[3.634, 3.839]",0.95,"[2.854, 4.794]","[2.826, 4.824]","[2.91, 4.693]","[2.892, 4.721]",0.739,0.85,0.924,NA
"North Sea","Eutrigla gurnardus","2007","1","2",122,115,94,198,"7.0380e-12",70.859,2.16,"[2.101, 2.212]",0.95,"[1.497, 2.846]","[1.47, 2.886]","[1.522, 2.825]","[1.513, 2.835]",0.657,0.793,0.817,NA
"North Sea","Eutrigla gurnardus","2007","1","3",122,131,109,198,"0.0000e+00",80.717,3.002,"[2.921, 3.069]",0.95,"[2.228, 3.798]","[2.208, 3.863]","[2.274, 3.778]","[2.261, 3.794]",0.757,0.862,0.893,NA
"North Sea","Eutrigla gurnardus","2007","1","4",122,133,113,198,"0.0000e+00",81.949,3.531,"[3.428, 3.612]",0.95,"[2.686, 4.505]","[2.648, 4.519]","[2.727, 4.408]","[2.711, 4.431]",0.796,0.886,0.926,NA
"North Sea","Eutrigla gurnardus","2007","1","5",122,100,89,198,"0.0000e+00",61.616,2.751,"[2.67, 2.815]",0.95,"[2.002, 3.585]","[1.967, 3.615]","[2.031, 3.529]","[2.019, 3.544]",0.669,0.802,0.89,NA
"North Sea","Eutrigla gurnardus","2007","2","3",115,131,106,198,"0.0000e+00",76.086,3.284,"[3.186, 3.36]",0.95,"[2.476, 4.209]","[2.426, 4.246]","[2.5, 4.14]","[2.485, 4.161]",0.757,0.862,0.922,NA
"North Sea","Eutrigla gurnardus","2007","2","4",115,133,102,198,"0.0000e+00",77.247,2.561,"[2.486, 2.622]",0.95,"[1.837, 3.329]","[1.798, 3.385]","[1.859, 3.307]","[1.848, 3.32]",0.699,0.823,0.887,NA
"North Sea","Eutrigla gurnardus","2007","2","5",115,100,72,198,"9.0710e-05",58.081,1.184,"[1.137, 1.227]",0.95,"[0.578, 1.817]","[0.559, 1.827]","[0.603, 1.779]","[0.596, 1.786]",0.503,0.67,0.72,NA
"North Sea","Eutrigla gurnardus","2007","3","4",131,133,118,198,"0.0000e+00",87.995,3.42,"[3.328, 3.495]",0.95,"[2.62, 4.309]","[2.571, 4.345]","[2.646, 4.248]","[2.631, 4.267]",0.808,0.894,0.901,NA
"North Sea","Eutrigla gurnardus","2007","3","5",131,100,90,198,"0.0000e+00",66.162,2.512,"[2.427, 2.578]",0.95,"[1.745, 3.326]","[1.715, 3.398]","[1.781, 3.307]","[1.768, 3.324]",0.638,0.779,0.9,NA
"North Sea","Eutrigla gurnardus","2007","4","5",133,100,94,198,"0.0000e+00",67.172,3.147,"[3.022, 3.236]",0.95,"[2.236, 4.087]","[2.206, 4.269]","[2.292, 4.125]","[2.273, 4.156]",0.676,0.807,0.94,NA
"North Sea","Eutrigla gurnardus","2008","1","2",131,121,110,198,"0.0000e+00",80.056,3.258,"[3.168, 3.33]",0.95,"[2.428, 4.111]","[2.426, 4.172]","[2.498, 4.077]","[2.484, 4.095]",0.775,0.873,0.909,NA
"North Sea","Eutrigla gurnardus","2008","1","3",131,111,102,198,"0.0000e+00",73.439,3.1,"[3.004, 3.173]",0.95,"[2.257, 4.001]","[2.255, 4.048]","[2.327, 3.945]","[2.313, 3.965]",0.729,0.843,0.919,NA
"North Sea","Eutrigla gurnardus","2008","1","4",131,126,120,198,"0.0000e+00",83.364,4.656,"[4.503, 4.775]",0.95,"[3.599, 5.814]","[3.581, 5.912]","[3.693, 5.738]","[3.665, 5.781]",0.876,0.934,0.952,NA
"North Sea","Eutrigla gurnardus","2008","1","5",131,99,92,198,"0.0000e+00",65.5,2.989,"[2.878, 3.07]",0.95,"[2.145, 3.975]","[2.096, 4.029]","[2.175, 3.904]","[2.159, 3.93]",0.667,0.8,0.929,NA
"North Sea","Eutrigla gurnardus","2008","2","3",121,111,90,198,"1.0125e-10",67.833,2.034,"[1.977, 2.084]",0.95,"[1.387, 2.696]","[1.354, 2.748]","[1.404, 2.689]","[1.396, 2.698]",0.634,0.776,0.811,NA
"North Sea","Eutrigla gurnardus","2008","2","4",121,126,109,198,"0.0000e+00",77,3.439,"[3.348, 3.513]",0.95,"[2.638, 4.32]","[2.601, 4.357]","[2.673, 4.261]","[2.659, 4.28]",0.79,0.883,0.901,NA
"North Sea","Eutrigla gurnardus","2008","2","5",121,99,93,198,"0.0000e+00",60.5,3.646,"[3.517, 3.739]",0.95,"[2.708, 4.607]","[2.689, 4.784]","[2.778, 4.636]","[2.758, 4.669]",0.732,0.845,0.939,NA
"North Sea","Eutrigla gurnardus","2008","3","4",111,126,100,198,"0.0000e+00",70.636,3.039,"[2.953, 3.106]",0.95,"[2.253, 3.915]","[2.233, 3.925]","[2.3, 3.835]","[2.287, 3.852]",0.73,0.844,0.901,NA
"North Sea","Eutrigla gurnardus","2008","3","5",111,99,73,198,"8.6437e-07",55.5,1.497,"[1.448, 1.542]",0.95,"[0.875, 2.111]","[0.861, 2.156]","[0.906, 2.106]","[0.899, 2.114]",0.533,0.695,0.737,NA
"North Sea","Eutrigla gurnardus","2008","4","5",126,99,92,198,"0.0000e+00",63,3.204,"[3.091, 3.286]",0.95,"[2.351, 4.199]","[2.305, 4.249]","[2.385, 4.124]","[2.368, 4.15]",0.692,0.818,0.929,NA
"North Sea","Eutrigla gurnardus","2009","1","2",87,93,53,198,"6e-04",40.864,1.012,"[0.967, 1.054]",0.95,"[0.423, 1.609]","[0.399, 1.639]","[0.441, 1.594]","[0.435, 1.6]",0.417,0.589,0.609,NA
"North Sea","Eutrigla gurnardus","2009","1","3",87,114,76,198,"0.0000e+00",50.091,2.57,"[2.491, 2.632]",0.95,"[1.839, 3.385]","[1.797, 3.423]","[1.859, 3.339]","[1.848, 3.354]",0.608,0.756,0.874,NA
"North Sea","Eutrigla gurnardus","2009","1","4",87,103,75,198,"0.0000e+00",45.258,2.9,"[2.821, 2.963]",0.95,"[2.161, 3.686]","[2.124, 3.748]","[2.186, 3.665]","[2.175, 3.68]",0.652,0.789,0.862,NA
"North Sea","Eutrigla gurnardus","2009","1","5",87,111,70,198,"7.1840e-10",48.773,1.939,"[1.879, 1.989]",0.95,"[1.285, 2.645]","[1.252, 2.668]","[1.303, 2.606]","[1.295, 2.616]",0.547,0.707,0.805,NA
"North Sea","Eutrigla gurnardus","2009","2","3",93,114,73,198,"1.6266e-08",53.545,1.73,"[1.675, 1.778]",0.95,"[1.072, 2.397]","[1.067, 2.426]","[1.115, 2.37]","[1.107, 2.379]",0.545,0.705,0.785,NA
"North Sea","Eutrigla gurnardus","2009","2","4",93,103,63,198,"3.4929e-05",48.379,1.221,"[1.174, 1.263]",0.95,"[0.624, 1.842]","[0.601, 1.858]","[0.644, 1.811]","[0.638, 1.818]",0.474,0.643,0.677,NA
"North Sea","Eutrigla gurnardus","2009","2","5",93,111,78,198,"0.0000e+00",52.136,2.414,"[2.347, 2.469]",0.95,"[1.708, 3.134]","[1.693, 3.187]","[1.748, 3.118]","[1.739, 3.129]",0.619,0.765,0.839,NA
"North Sea","Eutrigla gurnardus","2009","3","4",114,103,91,198,"0.0000e+00",59.303,3.144,"[3.061, 3.21]",0.95,"[2.374, 3.971]","[2.349, 4.014]","[2.414, 3.927]","[2.402, 3.943]",0.722,0.839,0.883,NA
"North Sea","Eutrigla gurnardus","2009","3","5",114,111,96,198,"0.0000e+00",63.909,3.176,"[3.096, 3.241]",0.95,"[2.418, 3.947]","[2.39, 4.025]","[2.455, 3.943]","[2.443, 3.958]",0.744,0.853,0.865,NA
"North Sea","Eutrigla gurnardus","2009","4","5",103,111,85,198,"0.0000e+00",57.742,2.512,"[2.447, 2.566]",0.95,"[1.817, 3.242]","[1.8, 3.269]","[1.854, 3.203]","[1.845, 3.214]",0.659,0.794,0.825,NA
"North Sea","Eutrigla gurnardus","2010","1","2",98,81,65,198,"0.0000e+00",40.091,2.322,"[2.257, 2.376]",0.95,"[1.63, 3.025]","[1.611, 3.081]","[1.665, 3.014]","[1.656, 3.025]",0.57,0.726,0.802,NA
"North Sea","Eutrigla gurnardus","2010","1","3",98,106,85,198,"0.0000e+00",52.465,3.179,"[3.098, 3.244]",0.95,"[2.418, 3.974]","[2.39, 4.037]","[2.455, 3.953]","[2.443, 3.969]",0.714,0.833,0.867,NA
"North Sea","Eutrigla gurnardus","2010","1","4",98,96,75,198,"0.0000e+00",47.515,2.491,"[2.428, 2.544]",0.95,"[1.81, 3.22]","[1.787, 3.235]","[1.841, 3.171]","[1.832, 3.182]",0.63,0.773,0.781,NA
"North Sea","Eutrigla gurnardus","2010","1","5",98,91,68,198,"6.1454e-11",45.04,2.015,"[1.959, 2.062]",0.95,"[1.371, 2.71]","[1.349, 2.712]","[1.397, 2.656]","[1.389, 2.664]",0.562,0.72,0.747,NA
"North Sea","Eutrigla gurnardus","2010","2","3",81,106,62,198,"6.0333e-08",43.364,1.68,"[1.623, 1.728]",0.95,"[1.041, 2.328]","[1.012, 2.382]","[1.06, 2.325]","[1.053, 2.334]",0.496,0.663,0.765,NA
"North Sea","Eutrigla gurnardus","2010","2","4",81,96,54,198,"2.5146e-05",39.273,1.266,"[1.218, 1.31]",0.95,"[0.651, 1.915]","[0.636, 1.915]","[0.68, 1.867]","[0.673, 1.874]",0.439,0.61,0.667,NA
"North Sea","Eutrigla gurnardus","2010","2","5",81,91,45,198,"0.0297",37.227,0.654,"[0.61, 0.695]",0.95,"[0.064, 1.239]","[0.043, 1.272]","[0.085, 1.228]","[0.079, 1.234]",0.354,0.523,0.556,NA
"North Sea","Eutrigla gurnardus","2010","3","4",106,96,87,198,"0.0000e+00",51.394,3.713,"[3.61, 3.793]",0.95,"[2.877, 4.688]","[2.833, 4.7]","[2.911, 4.589]","[2.895, 4.612]",0.757,0.861,0.906,NA
"North Sea","Eutrigla gurnardus","2010","3","5",106,91,81,198,"0.0000e+00",48.717,3.256,"[3.166, 3.327]",0.95,"[2.444, 4.072]","[2.431, 4.174]","[2.501, 4.078]","[2.487, 4.096]",0.698,0.822,0.89,NA
"North Sea","Eutrigla gurnardus","2010","4","5",96,91,81,198,"0.0000e+00",44.121,3.871,"[3.768, 3.953]",0.95,"[3.02, 4.819]","[2.984, 4.859]","[3.063, 4.749]","[3.047, 4.772]",0.764,0.866,0.89,NA
"North Sea","Eutrigla gurnardus","2011","1","2",90,113,83,198,"0.0000e+00",51.364,3.406,"[3.292, 3.489]",0.95,"[2.544, 4.412]","[2.502, 4.457]","[2.582, 4.33]","[2.565, 4.357]",0.692,0.818,0.922,NA
"North Sea","Eutrigla gurnardus","2011","1","3",90,117,78,198,"0.0000e+00",53.182,2.428,"[2.353, 2.487]",0.95,"[1.692, 3.17]","[1.674, 3.252]","[1.734, 3.173]","[1.723, 3.187]",0.605,0.754,0.867,NA
"North Sea","Eutrigla gurnardus","2011","1","4",90,111,71,198,"2.5743e-09",50.455,1.838,"[1.782, 1.887]",0.95,"[1.201, 2.494]","[1.167, 2.545]","[1.216, 2.487]","[1.208, 2.497]",0.546,0.706,0.789,NA
"North Sea","Eutrigla gurnardus","2011","1","5",90,116,75,198,"7.5257e-11",52.727,2.089,"[2.024, 2.142]",0.95,"[1.403, 2.781]","[1.38, 2.847]","[1.434, 2.78]","[1.425, 2.791]",0.573,0.728,0.833,NA
"North Sea","Eutrigla gurnardus","2011","2","3",113,117,101,198,"0.0000e+00",66.773,3.562,"[3.47, 3.636]",0.95,"[2.759, 4.423]","[2.719, 4.487]","[2.792, 4.39]","[2.778, 4.409]",0.783,0.878,0.894,NA
"North Sea","Eutrigla gurnardus","2011","2","4",113,111,92,198,"0.0000e+00",63.348,2.704,"[2.636, 2.761]",0.95,"[1.981, 3.419]","[1.974, 3.481]","[2.031, 3.412]","[2.021, 3.423]",0.697,0.821,0.829,NA
"North Sea","Eutrigla gurnardus","2011","2","5",113,116,99,198,"0.0000e+00",66.202,3.316,"[3.232, 3.385]",0.95,"[2.527, 4.139]","[2.51, 4.191]","[2.578, 4.104]","[2.565, 4.121]",0.762,0.865,0.876,NA
"North Sea","Eutrigla gurnardus","2011","3","4",117,111,100,198,"0.0000e+00",65.591,3.593,"[3.498, 3.668]",0.95,"[2.792, 4.433]","[2.741, 4.531]","[2.816, 4.431]","[2.801, 4.451]",0.781,0.877,0.901,NA
"North Sea","Eutrigla gurnardus","2011","3","5",117,116,105,198,"0.0000e+00",68.545,3.982,"[3.875, 4.068]",0.95,"[3.098, 4.963]","[3.075, 4.99]","[3.158, 4.876]","[3.14, 4.9]",0.82,0.901,0.905,NA
"North Sea","Eutrigla gurnardus","2011","4","5",111,116,99,198,"0.0000e+00",65.03,3.497,"[3.407, 3.57]",0.95,"[2.665, 4.383]","[2.663, 4.411]","[2.735, 4.316]","[2.721, 4.334]",0.773,0.872,0.892,NA
"North Sea","Eutrigla gurnardus","2012","1","2",82,110,72,198,"0.0000e+00",45.556,2.677,"[2.592, 2.742]",0.95,"[1.914, 3.49]","[1.882, 3.563]","[1.947, 3.472]","[1.935, 3.489]",0.6,0.75,0.878,NA
"North Sea","Eutrigla gurnardus","2012","1","3",82,124,73,198,"2.3767e-11",51.354,2.324,"[2.234, 2.391]",0.95,"[1.539, 3.167]","[1.513, 3.239]","[1.58, 3.141]","[1.567, 3.16]",0.549,0.709,0.89,NA
"North Sea","Eutrigla gurnardus","2012","1","4",82,120,67,198,"3.5454e-07",49.697,1.661,"[1.597, 1.713]",0.95,"[0.986, 2.357]","[0.96, 2.409]","[1.013, 2.344]","[1.004, 2.355]",0.496,0.663,0.817,NA
"North Sea","Eutrigla gurnardus","2012","1","5",82,100,55,198,"9.8164e-05",41.414,1.161,"[1.114, 1.204]",0.95,"[0.553, 1.8]","[0.535, 1.806]","[0.578, 1.758]","[0.572, 1.765]",0.433,0.604,0.671,NA
"North Sea","Eutrigla gurnardus","2012","2","3",110,124,106,198,"0.0000e+00",68.889,4.594,"[4.41, 4.726]",0.95,"[3.467, 5.801]","[3.454, 6.038]","[3.573, 5.807]","[3.542, 5.867]",0.828,0.906,0.964,NA
"North Sea","Eutrigla gurnardus","2012","2","4",110,120,99,198,"0.0000e+00",66.667,3.332,"[3.243, 3.403]",0.95,"[2.515, 4.185]","[2.506, 4.24]","[2.576, 4.146]","[2.563, 4.164]",0.756,0.861,0.9,NA
"North Sea","Eutrigla gurnardus","2012","2","5",110,100,84,198,"0.0000e+00",55.556,2.659,"[2.591, 2.716]",0.95,"[1.937, 3.389]","[1.929, 3.44]","[1.986, 3.37]","[1.976, 3.382]",0.667,0.8,0.84,NA
"North Sea","Eutrigla gurnardus","2012","3","4",124,120,112,198,"0.0000e+00",75.152,4.3,"[4.174, 4.399]",0.95,"[3.38, 5.347]","[3.32, 5.411]","[3.415, 5.273]","[3.393, 5.305]",0.848,0.918,0.933,NA
"North Sea","Eutrigla gurnardus","2012","3","5",124,100,94,198,"0.0000e+00",62.626,3.546,"[3.418, 3.638]",0.95,"[2.615, 4.501]","[2.593, 4.68]","[2.681, 4.533]","[2.661, 4.566]",0.723,0.839,0.94,NA
"North Sea","Eutrigla gurnardus","2012","4","5",120,100,93,198,"0.0000e+00",60.606,3.529,"[3.414, 3.613]",0.95,"[2.652, 4.549]","[2.615, 4.589]","[2.698, 4.46]","[2.68, 4.487]",0.732,0.845,0.93,NA
"North Sea","Eutrigla gurnardus","2013","1","2",89,108,72,198,"6.5362e-12",48.545,2.138,"[2.076, 2.189]",0.95,"[1.473, 2.861]","[1.444, 2.875]","[1.495, 2.812]","[1.487, 2.822]",0.576,0.731,0.809,NA
"North Sea","Eutrigla gurnardus","2013","1","3",89,110,70,198,"2.5651e-09",49.444,1.839,"[1.782, 1.887]",0.95,"[1.201, 2.494]","[1.167, 2.546]","[1.216, 2.488]","[1.209, 2.497]",0.543,0.704,0.787,NA
"North Sea","Eutrigla gurnardus","2013","1","4",89,108,66,198,"8.2016e-07",48.545,1.513,"[1.461, 1.558]",0.95,"[0.879, 2.152]","[0.869, 2.183]","[0.914, 2.131]","[0.907, 2.139]",0.504,0.67,0.742,NA
"North Sea","Eutrigla gurnardus","2013","1","5",89,91,66,198,"0.0000e+00",40.904,2.252,"[2.193, 2.302]",0.95,"[1.6, 2.927]","[1.568, 2.972]","[1.618, 2.912]","[1.61, 2.922]",0.579,0.733,0.742,NA
"North Sea","Eutrigla gurnardus","2013","2","3",108,110,94,198,"0.0000e+00",60,3.408,"[3.323, 3.478]",0.95,"[2.608, 4.253]","[2.595, 4.293]","[2.664, 4.204]","[2.651, 4.221]",0.758,0.862,0.87,NA
"North Sea","Eutrigla gurnardus","2013","2","4",108,108,93,198,"0.0000e+00",58.909,3.407,"[3.321, 3.476]",0.95,"[2.609, 4.245]","[2.595, 4.289]","[2.663, 4.201]","[2.65, 4.217]",0.756,0.861,0.861,NA
"North Sea","Eutrigla gurnardus","2013","2","5",108,91,83,198,"0.0000e+00",49.636,3.502,"[3.396, 3.581]",0.95,"[2.669, 4.389]","[2.621, 4.506]","[2.698, 4.391]","[2.682, 4.414]",0.716,0.834,0.912,NA
"North Sea","Eutrigla gurnardus","2013","3","4",110,108,92,198,"0.0000e+00",60,3.112,"[3.035, 3.176]",0.95,"[2.372, 3.903]","[2.338, 3.947]","[2.401, 3.867]","[2.39, 3.882]",0.73,0.844,0.852,NA
"North Sea","Eutrigla gurnardus","2013","3","5",110,91,77,198,"0.0000e+00",50.556,2.497,"[2.427, 2.553]",0.95,"[1.773, 3.259]","[1.764, 3.287]","[1.821, 3.215]","[1.811, 3.227]",0.621,0.766,0.846,NA
"North Sea","Eutrigla gurnardus","2013","4","5",108,91,75,198,"0.0000e+00",49.636,2.338,"[2.273, 2.392]",0.95,"[1.65, 3.041]","[1.628, 3.096]","[1.682, 3.029]","[1.673, 3.04]",0.605,0.754,0.824,NA
"North Sea","Eutrigla gurnardus","2014","1","2",102,114,76,198,"8.0956e-07",58.727,1.487,"[1.437, 1.532]",0.95,"[0.862, 2.103]","[0.849, 2.147]","[0.894, 2.097]","[0.888, 2.104]",0.543,0.704,0.745,NA
"North Sea","Eutrigla gurnardus","2014","1","3",102,111,80,198,"5.2439e-11",57.182,2.019,"[1.963, 2.068]",0.95,"[1.383, 2.685]","[1.35, 2.721]","[1.399, 2.664]","[1.391, 2.673]",0.602,0.751,0.784,NA
"North Sea","Eutrigla gurnardus","2014","1","4",102,116,89,198,"0.0000e+00",59.758,2.843,"[2.767, 2.904]",0.95,"[2.12, 3.603]","[2.078, 3.672]","[2.139, 3.593]","[2.128, 3.607]",0.69,0.817,0.873,NA
"North Sea","Eutrigla gurnardus","2014","1","5",102,114,83,198,"0.0000e+00",58.727,2.201,"[2.141, 2.252]",0.95,"[1.542, 2.898]","[1.512, 2.929]","[1.563, 2.868]","[1.555, 2.878]",0.624,0.769,0.814,NA
"North Sea","Eutrigla gurnardus","2014","2","3",114,111,90,198,"0.0000e+00",63.909,2.405,"[2.343, 2.458]",0.95,"[1.726, 3.125]","[1.703, 3.146]","[1.756, 3.083]","[1.748, 3.093]",0.667,0.8,0.811,NA
"North Sea","Eutrigla gurnardus","2014","2","4",114,116,89,198,"7.5926e-11",66.788,2.005,"[1.949, 2.054]",0.95,"[1.371, 2.69]","[1.334, 2.706]","[1.383, 2.649]","[1.375, 2.658]",0.631,0.774,0.781,NA
"North Sea","Eutrigla gurnardus","2014","2","5",114,114,93,198,"0.0000e+00",65.636,2.569,"[2.504, 2.624]",0.95,"[1.865, 3.302]","[1.852, 3.33]","[1.907, 3.264]","[1.898, 3.275]",0.689,0.816,0.816,NA
"North Sea","Eutrigla gurnardus","2014","3","4",111,116,99,198,"0.0000e+00",65.03,3.497,"[3.407, 3.57]",0.95,"[2.665, 4.383]","[2.663, 4.411]","[2.735, 4.316]","[2.721, 4.334]",0.773,0.872,0.892,NA
"North Sea","Eutrigla gurnardus","2014","3","5",111,114,98,198,"0.0000e+00",63.909,3.482,"[3.393, 3.553]",0.95,"[2.66, 4.37]","[2.654, 4.385]","[2.725, 4.292]","[2.711, 4.31]",0.772,0.871,0.883,NA
"North Sea","Eutrigla gurnardus","2014","4","5",116,114,98,198,"0.0000e+00",66.788,3.089,"[3.011, 3.152]",0.95,"[2.344, 3.878]","[2.312, 3.925]","[2.376, 3.845]","[2.364, 3.859]",0.742,0.852,0.86,NA
"North Sea","Eutrigla gurnardus","2015","1","2",123,124,100,198,"5.2160e-12",77.03,2.209,"[2.149, 2.262]",0.95,"[1.53, 2.909]","[1.51, 2.943]","[1.563, 2.881]","[1.554, 2.891]",0.68,0.81,0.813,NA
"North Sea","Eutrigla gurnardus","2015","1","3",123,131,102,198,"2.4597e-10",81.379,2.029,"[1.969, 2.082]",0.95,"[1.35, 2.719]","[1.332, 2.758]","[1.385, 2.697]","[1.376, 2.707]",0.671,0.803,0.829,NA
"North Sea","Eutrigla gurnardus","2015","1","4",123,125,93,198,"4.4220e-06",77.652,1.419,"[1.368, 1.465]",0.95,"[0.801, 2.048]","[0.767, 2.089]","[0.814, 2.037]","[0.807, 2.045]",0.6,0.75,0.756,NA
"North Sea","Eutrigla gurnardus","2015","1","5",123,114,78,198,"0.0385",70.818,0.627,"[0.582, 0.67]",0.95,"[0.015, 1.218]","[0.005, 1.254]","[0.049, 1.209]","[0.043, 1.216]",0.491,0.658,0.684,NA
"North Sea","Eutrigla gurnardus","2015","2","3",124,131,113,198,"0.0000e+00",82.04,3.436,"[3.342, 3.512]",0.95,"[2.636, 4.279]","[2.585, 4.372]","[2.66, 4.272]","[2.645, 4.292]",0.796,0.886,0.911,NA
"North Sea","Eutrigla gurnardus","2015","2","4",124,125,109,198,"0.0000e+00",78.283,3.245,"[3.162, 3.314]",0.95,"[2.449, 4.065]","[2.437, 4.121]","[2.505, 4.034]","[2.492, 4.05]",0.779,0.876,0.879,NA
"North Sea","Eutrigla gurnardus","2015","2","5",124,114,95,198,"1.5026e-12",71.394,2.235,"[2.174, 2.288]",0.95,"[1.555, 2.954]","[1.534, 2.975]","[1.587, 2.912]","[1.579, 2.922]",0.664,0.798,0.833,NA
"North Sea","Eutrigla gurnardus","2015","3","4",131,125,114,198,"0.0000e+00",82.702,3.501,"[3.405, 3.578]",0.95,"[2.688, 4.347]","[2.642, 4.446]","[2.718, 4.344]","[2.703, 4.365]",0.803,0.891,0.912,NA
"North Sea","Eutrigla gurnardus","2015","3","5",131,114,101,198,"0.0000e+00",75.424,2.621,"[2.545, 2.682]",0.95,"[1.897, 3.387]","[1.857, 3.446]","[1.919, 3.368]","[1.908, 3.382]",0.701,0.824,0.886,NA
"North Sea","Eutrigla gurnardus","2015","4","5",125,114,103,198,"0.0000e+00",71.97,3.248,"[3.16, 3.319]",0.95,"[2.435, 4.11]","[2.426, 4.153]","[2.496, 4.059]","[2.482, 4.077]",0.757,0.862,0.904,NA
"North Sea","Eutrigla gurnardus","2016","1","2",115,140,106,198,"0.0000e+00",81.313,2.814,"[2.719, 2.886]",0.95,"[1.975, 3.703]","[1.973, 3.756]","[2.045, 3.654]","[2.031, 3.674]",0.711,0.831,0.922,NA
"North Sea","Eutrigla gurnardus","2016","1","3",115,143,104,198,"1.8098e-11",83.056,2.353,"[2.271, 2.418]",0.95,"[1.586, 3.186]","[1.562, 3.218]","[1.627, 3.132]","[1.615, 3.148]",0.675,0.806,0.904,NA
"North Sea","Eutrigla gurnardus","2016","1","4",115,145,101,198,"8.6218e-08",84.217,1.845,"[1.775, 1.903]",0.95,"[1.143, 2.603]","[1.102, 2.637]","[1.16, 2.565]","[1.15, 2.577]",0.635,0.777,0.878,NA
