"region","species","year","size_group_1","size_group_2","entity_1_count_mA","entity_2_count_mB","obs_cooccur_X","total_N","p_value","exp_cooccur","alpha_mle","alpha_medianInt","conf_level","ci_blaker","ci_cp","ci_midQ","ci_midP","jaccard","sorensen","simpson","errornote"
"North Sea","Agonus cataphractus","1984","2","4",16,6,6,198,"1.0329e-07",0.485,10,"[4.882, 10]",0.95,"[3.01, 10]","[2.871, 10]","[6.436, 9.136]","[3.156, 10]",0.375,0.545,1,NA
"North Sea","Agonus cataphractus","1984","2","5",16,11,5,198,"6e-04",0.889,2.56,"[2.338, 2.784]",0.95,"[1.217, 4.032]","[0.989, 4.106]","[1.234, 3.871]","[1.159, 3.943]",0.227,0.37,0.455,NA
"North Sea","Agonus cataphractus","1984","3","4",20,6,5,198,"3.6097e-05",0.606,4.027,"[3.417, 4.555]",0.95,"[1.901, 7.23]","[1.753, 7.939]","[2.157, 6.733]","[1.978, 7.25]",0.238,0.385,0.833,NA
"North Sea","Agonus cataphractus","1984","3","5",20,11,8,198,"3.4401e-07",1.111,3.611,"[3.331, 3.851]",0.95,"[2.178, 5.202]","[2.042, 5.5]","[2.268, 5.141]","[2.194, 5.258]",0.348,0.516,0.727,NA
"North Sea","Agonus cataphractus","1984","4","5",6,11,3,198,"0.0024",0.333,3.085,"[2.711, 3.457]",0.95,"[1.242, 4.94]","[0.932, 5.253]","[1.358, 4.82]","[1.197, 4.984]",0.214,0.353,0.5,NA
"North Sea","Agonus cataphractus","1985","1","2",10,10,4,198,"6e-04",0.505,2.962,"[2.683, 3.243]",0.95,"[1.418, 4.536]","[1.158, 4.719]","[1.472, 4.425]","[1.366, 4.526]",0.25,0.4,0.4,NA
"North Sea","Agonus cataphractus","1985","1","3",10,10,2,198,"0.0833",0.505,1.71,"[1.382, 2.09]",0.95,"[-0.307, 3.503]","[-0.702, 3.561]","[-0.152, 3.262]","[-0.352, 3.374]",0.111,0.2,0.2,NA
"North Sea","Agonus cataphractus","1985","1","4",10,2,0,198,"1",0.101,-10,"[-10, 2.063]",0.95,"[-10, 4.216]","[-10, 4.647]","[-5.717, -2.676]","[-10, 4.216]",0,0,0,NA
"North Sea","Agonus cataphractus","1985","1","5",10,4,2,198,"0.0131",0.202,3.093,"[2.574, 3.611]",0.95,"[0.766, 5.426]","[0.36, 5.832]","[1.002, 5.187]","[0.732, 5.459]",0.167,0.286,0.5,NA
"North Sea","Agonus cataphractus","1985","2","3",10,10,3,198,"0.0093",0.505,2.375,"[2.09, 2.683]",0.95,"[0.7, 3.956]","[0.398, 4.13]","[0.778, 3.845]","[0.648, 3.945]",0.176,0.3,0.3,NA
