"","pair_id","region","species","yearqua","pair_id_x","cpue_length_intersect_yearqua_x","cpue_length_yearqua_x","range_size_x","num_intersect","num_union","pair_id_y","cpue_length_intersect_yearqua_y","cpue_length_yearqua_y","range_size_y","prop_cpue_intersect_x","prop_cpue_intersect_y","area_overlap","overlap_abun_weighted","mean_intersect","mean_union","mean_oa","mean_ow"
"1","1","Baltic Sea","Clupea harengus",1984,1,264.824676584,264.824676584,42,42,50,2,1946.670267583,2105.056446431,50,1,0.924759177305419,0.84,0.961643997176408,46.8,50,0.936,0.977739202312871
"2","1","Baltic Sea","Clupea harengus",1985,1,41.564233218,41.564233218,46,46,52,2,688.301211674,792.396673415,52,1,0.868632131818047,0.884615384615385,0.93200436255312,49.6,52,0.953846153846154,0.96932809363309
"3","1","Baltic Sea","Clupea harengus",1986,1,930.331089206,930.331089206,45,45,51,2,1907.714357055,1934.367238921,51,1,0.986221395126157,0.88235294117647,0.993086801405676,48.6,51,0.952941176470588,0.987547619602727
"4","1","Baltic Sea","Clupea harengus",1987,1,127.245044879,127.245044879,41,41,49,2,1041.347281283,1153.388126295,49,1,0.902859373650823,0.836734693877551,0.950189125201306,45.8,49,0.93469387755102,0.967213416891817
"5","1","Baltic Sea","Clupea harengus",1988,1,366.143923616,366.143923616,45,45,46,2,581.633928032,582.218153043,46,1,0.998996553082472,0.978260869565217,0.999498150614833,45.6,46,0.991304347826087,0.995160741811168
"6","1","Baltic Sea","Clupea harengus",1990,1,1581.122803476,1581.122803476,54,54,55,2,2690.470067363,2795.742375174,55,1,0.962345490505202,0.981818181818182,0.980992095026867,54.6,55,0.992727272727273,0.992805778303649
"7","1","Baltic Sea","Clupea harengus",1991,1,2755.483249596,2755.483249596,44,44,45,2,3682.594763054,3682.708537345,45,1,0.999969105811702,0.977777777777778,0.999984552786543,44.6,45,0.991111111111111,0.998815454517756
"8","1","Baltic Sea","Clupea harengus",1992,1,676.094550895,676.094550895,42,42,43,2,1763.302039539,1776.653504625,43,1,0.992485048406319,0.976744186046512,0.996235438240539,42.6,43,0.990697674418605,0.98857615371019
"9","1","Baltic Sea","Clupea harengus",1993,1,283.70668056,283.70668056,9,9,12,2,245.009369062,252.553621777,12,1,0.970128115122968,0.75,0.984950818631554,10.8,12,0.9,0.954488782619331
"10","1","Baltic Sea","Clupea harengus",1994,1,2096.617166766,2096.617166766,52,52,52,2,2504.553202057,2504.553202057,52,1,1,1,1,52,52,1,1
